Disease,Disease ID,Drug,Drug ID,Type,Mechanism of action,Action type,Activity,Target,Target ID,Target class
ALZHEIMER,EFO_0000249,MEMANTINE,CHEMBL807,SMALL MOLECULE,GLUTAMATE [NMDA] RECEPTOR NEGATIVE ALLOSTERIC MODULATOR,NEGATIVE ALLOSTERIC MODULATOR,NEGATIVE MODULATOR,GRIN2B,ENSG00000273079,NMDA RECEPTOR
ALZHEIMER,EFO_0000249,MEMANTINE,CHEMBL807,SMALL MOLECULE,GLUTAMATE [NMDA] RECEPTOR NEGATIVE ALLOSTERIC MODULATOR,NEGATIVE ALLOSTERIC MODULATOR,NEGATIVE MODULATOR,GRIN3B,ENSG00000116032,NMDA RECEPTOR
ALZHEIMER,EFO_0000249,MEMANTINE,CHEMBL807,SMALL MOLECULE,GLUTAMATE [NMDA] RECEPTOR NEGATIVE ALLOSTERIC MODULATOR,NEGATIVE ALLOSTERIC MODULATOR,NEGATIVE MODULATOR,GRIN2C,ENSG00000161509,NMDA RECEPTOR
ALZHEIMER,EFO_0000249,MEMANTINE,CHEMBL807,SMALL MOLECULE,GLUTAMATE [NMDA] RECEPTOR NEGATIVE ALLOSTERIC MODULATOR,NEGATIVE ALLOSTERIC MODULATOR,NEGATIVE MODULATOR,GRIN2A,ENSG00000183454,NMDA RECEPTOR
ALZHEIMER,EFO_0000249,MEMANTINE,CHEMBL807,SMALL MOLECULE,GLUTAMATE [NMDA] RECEPTOR NEGATIVE ALLOSTERIC MODULATOR,NEGATIVE ALLOSTERIC MODULATOR,NEGATIVE MODULATOR,GRIN3A,ENSG00000198785,NMDA RECEPTOR
ALZHEIMER,EFO_0000249,MEMANTINE,CHEMBL807,SMALL MOLECULE,GLUTAMATE [NMDA] RECEPTOR NEGATIVE ALLOSTERIC MODULATOR,NEGATIVE ALLOSTERIC MODULATOR,NEGATIVE MODULATOR,GRIN1,ENSG00000176884,NMDA RECEPTOR
ALZHEIMER,EFO_0000249,IBUPROFEN,CHEMBL521,SMALL MOLECULE,CYCLOOXYGENASE INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,PTGS2,ENSG00000073756,OXIDOREDUCTASE
ALZHEIMER,EFO_0000249,QUINIDINE,CHEMBL1294,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN2A,ENSG00000136531,VOLTAGE-GATED SODIUM CHANNEL
ALZHEIMER,EFO_0000249,ACETAMINOPHEN,CHEMBL112,SMALL MOLECULE,VANILLOID RECEPTOR OPENER,OPENER,POSITIVE MODULATOR,TRPV1,ENSG00000196689,TRANSIENT RECEPTOR POTENTIAL CHANNEL
ALZHEIMER,EFO_0000249,MEMANTINE,CHEMBL807,SMALL MOLECULE,GLUTAMATE [NMDA] RECEPTOR NEGATIVE ALLOSTERIC MODULATOR,NEGATIVE ALLOSTERIC MODULATOR,NEGATIVE MODULATOR,GRIN2D,ENSG00000105464,NMDA RECEPTOR
ALZHEIMER,EFO_0000249,IBUPROFEN,CHEMBL521,SMALL MOLECULE,CYCLOOXYGENASE INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,PTGS1,ENSG00000095303,OXIDOREDUCTASE
ALZHEIMER,EFO_0000249,QUINIDINE,CHEMBL1294,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN11A,ENSG00000168356,VOLTAGE-GATED SODIUM CHANNEL
ALZHEIMER,EFO_0000249,ACETAMINOPHEN,CHEMBL112,SMALL MOLECULE,ANANDAMIDE AMIDOHYDROLASE INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,FAAH,ENSG00000117480,HYDROLASE
ALZHEIMER,EFO_0000249,SIMVASTATIN,CHEMBL1064,SMALL MOLECULE,HMG-COA REDUCTASE INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,HMGCR,ENSG00000113161,OXIDOREDUCTASE
ALZHEIMER,EFO_0000249,QUINIDINE,CHEMBL1294,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN7A,ENSG00000136546,VOLTAGE-GATED SODIUM CHANNEL
ALZHEIMER,EFO_0000249,QUINIDINE,CHEMBL1294,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN3A,ENSG00000153253,VOLTAGE-GATED SODIUM CHANNEL
ALZHEIMER,EFO_0000249,ACETAMINOPHEN,CHEMBL112,SMALL MOLECULE,CYCLOOXYGENASE INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,PTGS2,ENSG00000073756,OXIDOREDUCTASE
ALZHEIMER,EFO_0000249,CARVEDILOL,CHEMBL723,SMALL MOLECULE,ADRENERGIC RECEPTOR BETA ANTAGONIST,ANTAGONIST,NEGATIVE MODULATOR,ADRB3,ENSG00000188778,ADRENERGIC RECEPTOR
ALZHEIMER,EFO_0000249,CARVEDILOL,CHEMBL723,SMALL MOLECULE,ADRENERGIC RECEPTOR BETA ANTAGONIST,ANTAGONIST,NEGATIVE MODULATOR,ADRB1,ENSG00000043591,ADRENERGIC RECEPTOR
ALZHEIMER,EFO_0000249,DEXTROMETHORPHAN,CHEMBL52440,SMALL MOLECULE,GLUTAMATE [NMDA] RECEPTOR SUBUNIT EPSILON 1 ANTAGONIST,ANTAGONIST,NEGATIVE MODULATOR,GRIN2A,ENSG00000183454,NMDA RECEPTOR
ALZHEIMER,EFO_0000249,QUINIDINE,CHEMBL1294,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN10A,ENSG00000185313,VOLTAGE-GATED SODIUM CHANNEL
ALZHEIMER,EFO_0000249,CARVEDILOL,CHEMBL723,SMALL MOLECULE,ADRENERGIC RECEPTOR ALPHA-1 ANTAGONIST,ANTAGONIST,NEGATIVE MODULATOR,ADRA1A,ENSG00000120907,ADRENERGIC RECEPTOR
ALZHEIMER,EFO_0000249,QUINIDINE,CHEMBL1294,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN5A,ENSG00000183873,VOLTAGE-GATED SODIUM CHANNEL
ALZHEIMER,EFO_0000249,ACETAMINOPHEN,CHEMBL112,SMALL MOLECULE,CYCLOOXYGENASE INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,PTGS1,ENSG00000095303,OXIDOREDUCTASE
ALZHEIMER,EFO_0000249,CARVEDILOL,CHEMBL723,SMALL MOLECULE,ADRENERGIC RECEPTOR BETA ANTAGONIST,ANTAGONIST,NEGATIVE MODULATOR,ADRB2,ENSG00000169252,ADRENERGIC RECEPTOR
ALZHEIMER,EFO_0000249,CARVEDILOL,CHEMBL723,SMALL MOLECULE,ADRENERGIC RECEPTOR ALPHA-1 ANTAGONIST,ANTAGONIST,NEGATIVE MODULATOR,ADRA1D,ENSG00000171873,ADRENERGIC RECEPTOR
ALZHEIMER,EFO_0000249,CARVEDILOL,CHEMBL723,SMALL MOLECULE,ADRENERGIC RECEPTOR ALPHA-1 ANTAGONIST,ANTAGONIST,NEGATIVE MODULATOR,ADRA1B,ENSG00000170214,ADRENERGIC RECEPTOR
ALZHEIMER,EFO_0000249,QUINIDINE,CHEMBL1294,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN1A,ENSG00000144285,VOLTAGE-GATED SODIUM CHANNEL
ALZHEIMER,EFO_0000249,QUINIDINE,CHEMBL1294,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN4A,ENSG00000007314,VOLTAGE-GATED SODIUM CHANNEL
ALZHEIMER,EFO_0000249,DEXTROMETHORPHAN,CHEMBL52440,SMALL MOLECULE,SIGMA OPIOID RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,SIGMAR1,ENSG00000147955,MEMBRANE RECEPTOR
ALZHEIMER,EFO_0000249,QUINIDINE,CHEMBL1294,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN9A,ENSG00000169432,VOLTAGE-GATED SODIUM CHANNEL
ALZHEIMER,EFO_0000249,QUINIDINE,CHEMBL1294,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN8A,ENSG00000196876,VOLTAGE-GATED SODIUM CHANNEL
ALZHEIMER,EFO_0000249,"ESTROGENS, CONJUGATED",CHEMBL1201649,SMALL MOLECULE,ESTROGEN RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,ESR1,ENSG00000091831,NUCLEAR HORMONE RECEPTOR SUBFAMILY 3 GROUP A MEMBER 1
ALZHEIMER,EFO_0000249,CELECOXIB,CHEMBL118,SMALL MOLECULE,CYCLOOXYGENASE-2 INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,PTGS2,ENSG00000073756,OXIDOREDUCTASE
ALZHEIMER,EFO_0000249,MASITINIB,CHEMBL1908391,SMALL MOLECULE,PLATELET-DERIVED GROWTH FACTOR RECEPTOR INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,PDGFRB,ENSG00000113721,TYROSINE PROTEIN KINASE PDGFR FAMILY
ALZHEIMER,EFO_0000249,ARIPIPRAZOLE,CHEMBL1112,SMALL MOLECULE,SEROTONIN 2A (5-HT2A) RECEPTOR ANTAGONIST,ANTAGONIST,NEGATIVE MODULATOR,HTR2A,ENSG00000102468,SEROTONIN RECEPTOR
ALZHEIMER,EFO_0000249,ARIPIPRAZOLE,CHEMBL1112,SMALL MOLECULE,DOPAMINE D2 RECEPTOR PARTIAL AGONIST,PARTIAL AGONIST,POSITIVE MODULATOR,DRD2,ENSG00000149295,DOPAMINE RECEPTOR
ALZHEIMER,EFO_0000249,RISPERIDONE,CHEMBL85,SMALL MOLECULE,DOPAMINE D2 RECEPTOR ANTAGONIST,ANTAGONIST,NEGATIVE MODULATOR,DRD2,ENSG00000149295,DOPAMINE RECEPTOR
ALZHEIMER,EFO_0000249,RISPERIDONE,CHEMBL85,SMALL MOLECULE,SEROTONIN 2A (5-HT2A) RECEPTOR ANTAGONIST,ANTAGONIST,NEGATIVE MODULATOR,HTR2A,ENSG00000102468,SEROTONIN RECEPTOR
ALZHEIMER,EFO_0000249,CAFFEINE,CHEMBL113,SMALL MOLECULE,ADENOSINE RECEPTOR ANTAGONIST,ANTAGONIST,NEGATIVE MODULATOR,ADORA2A,ENSG00000128271,ADENOSINE RECEPTOR
ALZHEIMER,EFO_0000249,RISPERIDONE,CHEMBL85,SMALL MOLECULE,SEROTONIN 2C (5-HT2C) RECEPTOR ANTAGONIST,ANTAGONIST,NEGATIVE MODULATOR,HTR2C,ENSG00000147246,SEROTONIN RECEPTOR
ALZHEIMER,EFO_0000249,VALPROIC ACID,CHEMBL109,SMALL MOLECULE,SUCCINATE SEMIALDEHYDE DEHYDROGENASE INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,ALDH5A1,ENSG00000112294,OXIDOREDUCTASE
ALZHEIMER,EFO_0000249,INDOMETHACIN,CHEMBL6,SMALL MOLECULE,CYCLOOXYGENASE INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,PTGS1,ENSG00000095303,OXIDOREDUCTASE
ALZHEIMER,EFO_0000249,CAFFEINE,CHEMBL113,SMALL MOLECULE,ADENOSINE RECEPTOR ANTAGONIST,ANTAGONIST,NEGATIVE MODULATOR,ADORA3,ENSG00000282608,ADENOSINE RECEPTOR
