Disease,Gene_list
ALZHEIMER,"['SNCA', 'A2M', 'COL25A1', 'APP', 'ACE', 'PSEN1', 'MAPT', 'PSEN2', 'BACE1', 'SORL1', 'IDE', 'NCSTN', 'CYP46A1', 'GSK3B', 'PRNP', 'CST3', 'BCHE', 'ADAM10', 'LRP1', 'SERPINA3', 'CLU', 'CTSD', 'BACE2', 'IL1A', 'MME', 'ABCA1', 'BDNF', 'APH1A', 'CHAT', 'TOMM40', 'APOC1', 'CTNNA3', 'VSNL1', 'APOD', 'PLAU', 'GSTO1', 'TF', 'HTR2A', 'GBA', 'TTR', 'UBQLN1', 'NOS3', 'NEFL', 'PON1', 'GFAP', 'RELN', 'ECE1', 'STH', 'CHRNB2', 'TYROBP', 'NPC1', 'BPTF', 'HFE', 'DLST', 'OLR1', 'CRYAB', 'MARK4', 'CHRNA4', 'APBB2', 'APOE', 'TREM2', 'PICALM', 'PRND', 'ABCA7', 'IL6', 'BIN1', 'CR1', 'TNF', 'GAPDH', 'GRN', 'IL1B', 'MTHFR', 'GRIN2B', 'CD33', 'CALHM1', 'GAB2', 'APBB1', 'SLC18A3', 'MS4A6A', 'PSENEN', 'CDK5', 'MPO', 'TARDBP', 'SLC6A4', 'PIN1', 'C9ORF72', 'PTGS2', 'APLP2', 'TFAM', 'ACHE', 'SLC6A3', 'APLP1', 'PCDH11X', 'SOD2', 'TMEM106B', 'FAS', 'SORCS1', 'ZCWPW1', 'ITM2B', 'HSD17B10', 'CD2AP', 'AGER', 'UNC5C', 'CDK5R1', 'APBA1', 'INS', 'NOTCH1', 'NGFR', 'ESR1', 'TGFB1', 'ABCB1', 'CASP6', 'MAP2', 'LRP8', 'ADAM17', 'LDLR', 'APBA2', 'GAPDHS', 'CHRNA7', 'CCL2', 'HMGCR', 'RCAN1', 'LRRTM3', 'DHCR24', 'KLK6', 'TREML2', 'KCNIP3', 'FYN', 'UBB', 'IAPP', 'LAMA1', 'PITRM1', 'CXCL12', 'SLC24A4', 'FRMD4A', 'PON2', 'MS4A4E', 'IL10', 'MT3', 'KLC1', 'NRG1', 'MTRR', 'MAOB', 'ALDH2', 'MS4A4A', 'IGF1', 'CETP', 'BLMH', 'NEDD9', 'APBA3', 'MAPK8IP1', 'ND1', 'DBN1', 'APH1B', 'ABCA2', 'SORT1', 'NGF', 'GOLM1', 'AKT1', 'HTR6', 'IFNG', 'UCHL1', 'HSPB2', 'HTR2C', 'LRPAP1', 'SERPINA1', 'PLD3', 'EXOC3L2', 'RIN3', 'CHRM1', 'SOAT1', 'CRH', 'LPL', 'CH25H', 'DNMBP', 'AD5', 'IGFBP3', 'TFCP2', 'PAXIP1', 'HTRA2', 'CTNND2', 'EIF2AK2', 'APCS', 'TP73', 'GSTO2', 'APBB3', 'MTHFD1L', 'NQO1', 'SNCB', 'NEFM', 'THOP1', 'PRDX3', 'FRMD6', 'S100B', 'CHGB', 'SYNJ1', 'FABP3', 'ECHDC3', 'EPHA1', 'CYP2D6', 'APOB', 'COMT', 'ANK3', 'HLA-DRB5', 'CRP', 'HLA-DRB1', 'LRRK2', 'PPARG', 'CSF2', 'PTK2B', 'INPP5D', 'NPY', 'TM2D3', 'FERMT2', 'SORCS3', 'AKAP9', 'SIRT1', 'GAD2', 'BCL2L2', 'APOA1', 'WWOX', 'ALOX5', 'CYP19A1', 'AGT', 'PCSK9', 'LEP', 'MIR146A', 'VLDLR', 'KL', 'CDC2', 'VDR', 'IGF1R', 'GSTM1', 'DYRK1A', 'NOS1', 'SOD1', 'HLA-A', 'CSNK1D', 'GSTP1', 'CDKN2A', 'CASS4', 'ERBB4', 'CTSB', 'CBS', 'COL18A1', 'GSTT1', 'SREBF2', 'MT2A', 'RTN3', 'PARP1', 'MAOA', 'BACE1-AS', 'MAPK14', 'WWC1', 'MS4A6E', 'FTO', 'TREM1', 'MAPK1', 'YWHAZ', 'BLOC1S3', 'LAMC2', 'MEF2C', 'NCKAP1', 'IL12A', 'IL18', 'CASP3', 'NTRK1', 'IL4', 'CAPN2', 'VPS35', 'PANK1', 'BCL2', 'EXOC4', 'CYP17A1', 'REG1A', 'DAPK1', 'NFKB1', 'ADAM9', 'MS', 'MTR', 'OGG1', 'CAV1', 'MAPK3', 'MARK1', 'AR', 'HSPA14', 'NRGN', 'PAWR', 'TCF7L2', 'ACAT1', 'IL2', 'GSTK1', 'GSAP', 'GSN', 'IL1RN', 'PPARGC1A', 'NCAM1', 'CTCF', 'PTPA', 'HHEX', 'CD44', 'REN', 'ARNTL', 'UBE2L3', 'PTGS1', 'LIPA', 'QPCT', 'COX2', 'SLC30A6', 'HSPA8', 'PCSK1', 'NECTIN2', 'CSMD1', 'DDIT4', 'PINK1', 'RAB5A', 'PLA2G4A', 'E2F1', 'APOC2', 'PTPRA', 'ASCC1', 'PARK2', 'TSPO', 'PON3', 'PTEN', 'KAT5', 'TLR2', 'AKR1C4', 'HTRA1', 'LMNA', 'GAL', 'CHCHD10', 'OPRL1', 'GEMIN4', 'PLTP', 'TP53', 'NFATC4', 'STUB1', 'MAP2K1', 'EPHA1-AS1', 'MAP2K2', 'MCOLN1', 'TBP', 'CAPN1', 'CTNNA2', 'PRKCA', 'GRIA1', 'CALHM3', 'CYP2C19', 'TTBK1', 'HCRT', 'SLC1A2', 'ESR2', 'DPYSL2', 'PPP2R2B', 'AIF1', 'ARC', 'GRIA2', 'MBL2', 'LIPC', 'ADORA1', 'CYP26A1', 'ITGB1', 'FLOT1', 'RAB7A', 'ING1', 'PPIF', 'NAPSA', 'WAC', 'F2', 'IL1R1', 'NAT2', 'RBP4', 'HSPG2', 'TGM2', 'ABCC9', 'CDKN1B', 'CAST', 'CD40', 'CTXN3', 'GCG', 'RYR3', 'XPNPEP1', 'KIF11', 'SCD', 'MMP2', 'COX8A', 'RAC1', 'CASP12', 'DCHS2', 'PILRA', 'OPTN', 'TNFAIP1', 'LAMC1', 'HMOX1', 'HMGB1', 'CALHM2', 'PSD', 'SDS', 'PZP', 'HPCAL1', 'HSPA5', 'NME8', 'APBB1IP', 'FLNA', 'AKR1A1', 'SIRT3', 'SST', 'CNR2', 'CYP2C9', 'HGF', 'PRSS3', 'EGFR', 'PNMT', 'LUZP2', 'DVL1', 'TFRC', 'ICAM1', 'DOCK3', 'SIGMAR1', 'GRM5', 'CHGA', 'SLC1A3', 'CTNNB1', 'ADRA1A', 'DIO2', 'ENO1', 'PCSK1N', 'CP', 'GRIA3', 'SYP', 'GDF2', 'CACNA1A', 'NLRP1', 'MARK2', 'SLC30A3', 'SMPD1', 'MIR132', 'ADD3', 'PRDX2', 'CIB1', 'MX1', 'ADH1B', 'FOXO3', 'MAPK8', 'COL17A1', 'ITGAM', 'NFKB2', 'GGA3', 'PRDX1', 'DNM2', 'RNR2', 'DNMT3B', 'PRS', 'TMED10', 'C5AR1', 'PLXNA4', 'GGA1', 'STMN1', 'PANK2', 'CLSTN1', 'CELF2', 'ATP6V1H', 'MFGE8', 'LEPR', 'PFKFB3', 'EIF2S1', 'NR3C2', 'SLC32A1', 'HSPD1', 'MAT1A', 'MRC1', 'CLSTN3', 'NHLRC2', 'LCAT', 'KCNMA1', 'TAPBPL', 'PRKN', 'CAMK2A', 'GRK5', 'IGHG3', 'CASP4', 'IL4R', 'MTRNR2L12', 'OGDHL', 'CDK5RAP2', 'TNK1', 'MIR107', 'SEMA3A', 'TCIRG1', 'NRG3', 'NPC2', 'CASR', 'FBXW7', 'GRIN2A', 'CHRNA3', 'ADRB1', 'BECN1', 'CCDC134', 'HNRNPA1', 'HMGA1', 'CKB', 'MAPK10', 'ALOX15', 'PHB', 'PDZD2', 'STMN2', 'SLC17A7', 'PRDX6', 'PDCD4', 'GPX1', 'ABCC2', 'BACH1', 'FAAH', 'NACA', 'FLNB', 'PARK7', 'TNFSF10', 'ADNP', 'LRAT', 'GLUL', 'FASLG', 'NDRG2', 'FOXO1', 'STX1B', 'ECD', 'LIPG', 'GSK3A', 'C1QA', 'HPS1', 'HK1', 'GSTM3', 'ZNF608', 'XPO5', 'CD36', 'SORCS2', 'SCARB1', 'SERPINF2', 'CEBPD', 'SET', 'EPHA4', 'CLOCK', 'UBE2L1', 'ARNTL2', 'CD68', 'DRD3', 'VCAN', 'CAMK1D', 'TIMP1', 'SYN1', 'PARD3', 'ADRA2A', 'ABCG2', 'CPN1', 'CHRM2', 'SLC24A3', 'FGF1', 'GRIN1', 'DLL1', 'GAD1', 'HECTD2', 'ABCG1', 'RER1', 'TBK1', 'LRRC15', 'SP1', 'CCR3', 'MTNR1A', 'RPS6KB2', 'ANKS1B', 'NR1H2', 'RET', 'DIO1', 'HPSE2', 'RORA', 'DNTT', 'APOA2', 'HTR7', 'ARSA', 'AD6', 'LINC01080', 'NEFH', 'VPS26A', 'C1R', 'BAK1', 'COX10', 'NOC3L', 'FCGR1A', 'SFTPA1', 'SLC18A2', 'SLC30A1', 'SLC10A2', 'TPH1', 'PADI2', 'STXBP1', 'LHCGR', 'MARK3', 'RGS4', 'AGRN', 'TACR2', 'CDH2', 'TARBP2', 'CFTR', 'CLSTN2', 'TP53BP2', 'NCAM2', 'WT1', 'PPIG', 'THBS4', 'TET1', 'GFRA1', 'SGMS1', 'ASPM', 'ATRNL1', 'BAG3', 'EPC2', 'NECAB3', 'MSRB2', 'CLDN17', 'CACNA1C', 'CASP7', 'UCP2', 'PLAUR', 'STX8', 'GNB3', 'KCTD2', 'TSPAN15', 'FHL2', 'PLAT', 'LRP1B', 'PRKCE', 'TNFRSF21', 'EBNA1BP2', 'BLNK', 'MDH2', 'ABI1', 'GRIK4', 'DROSHA', 'SERPINC1', 'CHRFAM7A', 'ERG', 'NEUROD6', 'CRHBP', 'OPN4', 'NCAPD2', 'ALOX12', 'HLA-DRA', 'STOX1', 'IFIT3', 'KLK10', 'APOM', 'NAE1', 'NME1', 'KLK7', 'FRK', 'TMEM59', 'NME2', 'CHAF1B', 'CYP7B1', 'BAP1', 'NAT8B', 'BDKRB2', 'ADAM12', 'PDE8B', 'PKP4', 'DYSF', 'RGS6', 'NARS2', 'CCNC', 'PSD2', 'NUMB', 'SNX3', 'GBF1', 'GPAA1', 'SELENBP1', 'ZNF224', 'INA', 'HGS', 'NOLC1', 'MS4A1', 'NRXN1', 'SNCAIP', 'HS3ST1']"
CONGENITAL DYSERYTHROPOIETIC ANEMIA TYPE I,"['CDAN1', 'SEC23B', 'KLF1', 'ERFE', 'GDF15', 'GATA1', 'CDIN1', 'C15ORF41', 'LPIN2', 'MAN2A1', 'SEC23A', 'PPIP5K1P1', 'CDAN3', 'STRCP1', 'CATSPER2P1', 'ZSCAN29', 'TMEM62', 'TMEM87A', 'ZNF106', 'PPIP5K1', 'CATSPER2', 'COX4I2', 'TGM5', 'TONSL', 'HAUS2']"
HEMOLYTIC ANEMIA,"['G6PD', 'HBA1', 'HBA2', 'SLC4A1', 'SPTB', 'SPTA1', 'ANK1', 'CFH', 'CD59', 'UGT1A1', 'ADAMTS13', 'HBG2', 'HFE', 'EPB42', 'AK1', 'EPB41', 'HAMP', 'PIGA', 'CD55', 'C3', 'HP', 'TFRC', 'ITPA', 'MTHFR', 'HBB', 'HMOX1', 'TPI1', 'GPI', 'GSR', 'HBD', 'PGK1', 'CD46', 'PKLR', 'HBG1', 'RHAG', 'GCLC', 'KLF1', 'RHCE', 'GSS', 'CFB', 'GATA1', 'EPO', 'GP1BA', 'HBE1', 'CTLA4', 'C5', 'THBD', 'HLA-DRB1', 'EDN1', 'HK1', 'F2', 'RHD', 'ALDOA', 'SIRPA', 'SLEH1', 'CD47', 'ATRX', 'BCL11A', 'IL10', 'ALAS2', 'APOE', 'HBS1L', 'TNF', 'CFHR1', 'CFI', 'MYB', 'NT5C3A', 'FCGR2A', 'CD40LG', 'CR1', 'COL4A1', 'VDR', 'IFNG', 'DARC', 'F5', 'HBBP1', 'HBZ', 'STOM', 'CFHR5', 'HLA-G', 'CFHR3', 'GSTT1', 'PFKM', 'CR2', 'CLU', 'FAS', 'VCAM1', 'CD81', 'GSTM1', 'HBAP1', 'CDAN1', 'ITGB3', 'NOS2A', 'PIEZO1', 'KCNN4', 'ABO', 'C4BPA', 'HLA-DQB1', 'COL1A1', 'BMP6', 'ACE', 'CDK9', 'ADA', 'CRP', 'C2', 'KRAS', 'GSTK1', 'C1QB', 'C1QA', 'C1QC', 'CFHR4', 'PGD', 'FCGR3A', 'FANCD2', 'TGFB1', 'SLCO6A1', 'AHSP', 'MIPEP', 'C8A', 'C8B', 'TMPRSS6', 'IL1B', 'C8G', 'VEGFA', 'TERT', 'PRDX2', 'CFHR2', 'C9', 'TF', 'IL18', 'SERPINA1', 'CD163', 'RPS19', 'VWF', 'BRCA2', 'IL1RN', 'H6PD', 'HLA-DQA1', 'PIGT', 'FBP1', 'CUBN', 'ITGA4', 'SLC40A1', 'DHS', 'SELP', 'CDAN3', 'BMP4', 'TRIM21', 'FCP1', 'SLC12A4', 'MTR', 'JAK2', 'NPRL3']"
REFRACTORY ANEMIA WITH RINGED SIDEROBLASTS,"['JAK2', 'ABCB7', 'FTMT', 'ALAS2', 'SF3B1', 'TET2', 'ERBB3', 'HSPA9', 'FLT3', 'RARS1', 'ASXL1', 'FANCB', 'MPL', 'PAFAH1B1', 'YWHAE', 'ZMYND10', 'CD34', 'SLU7', 'CSF3', 'LRG1', 'DNMT3A', 'EPOR', 'ALAD', 'IGHV1-12', 'HLA-DRB1']"
HEMOLYTIC-UREMIC SYNDROME,"['CD46', 'CFI', 'CFHR1', 'ADAMTS13', 'CFHR3', 'CFB', 'C3', 'THBD', 'CFH', 'CFHR5', 'DGKE', 'C4BPA', 'CFHR4', 'VWF', 'CFHR2', 'PLG', 'CD55', 'ALB', 'EPO', 'TNF', 'IL1B', 'CX3CL1', 'IL10', 'MTHFR', 'FGF2', 'MMACHC', 'F3', 'TLR4', 'TFRC', 'C5', 'EDN1', 'A4GALT', 'CD59']"
ANEMIA (),"['HBB', 'HBA1', 'EPO', 'FANCA', 'HAMP', 'G6PD', 'FANCC', 'HBG2', 'FANCD2', 'FANCG', 'ALAS2', 'JAK2', 'FANCE', 'TF', 'SLC40A1', 'BRCA1', 'TMPRSS6', 'FANCB', 'HFE', 'HP', 'ANK1', 'MPL', 'SLX4', 'FANCL', 'UGT1A1', 'TFRC', 'SF3B1', 'TERC', 'TET2', 'IFNG', 'RPS19', 'HMOX1', 'PKLR', 'TERT', 'BMP6', 'GATA1', 'BCL11A', 'ERCC1', 'ATRX', 'CFH', 'HBA2', 'BRIP1', 'TFR2', 'DKC1', 'HBG1', 'SLC4A1', 'ASXL1', 'SBDS', 'SPTA1', 'SLC19A2', 'UBE2T', 'FCGR2A', 'PUS1', 'ADAMTS13', 'UMPS', 'GATA2', 'CHEK1', 'CUBN', 'RPS14', 'NBN', 'HK1', 'TNF', 'MTHFR', 'PALB2', 'KRAS', 'TP53', 'HLA-B', 'BRCA2', 'TGFB1', 'SOD2', 'F2', 'ITPA', 'CALR', 'STAT3', 'KLF1', 'TYMS', 'CRP', 'AGT', 'ATG5', 'RAD51C', 'IL6', 'IL2', 'FANCM', 'IFNA2', 'HBS1L', 'IDH2', 'IDH1', 'PDGFRA', 'GPX1', 'ITGA2B', 'PARP1', 'ERCC2', 'GBA', 'HBD', 'IL12B', 'KIT', 'HBE1', 'FANCF', 'ERCC4', 'FANCI', 'NPM1', 'ITGB3', 'HIF1A', 'MYB', 'BLM', 'CFI', 'SPTB', 'IL10', 'SMAD4', 'GSTP1', 'ABCB7', 'SLC11A2', 'ACE', 'RAD51', 'LIG4', 'GSTT1', 'IL1B', 'EGFR', 'TCN2', 'ABCB1', 'BACH1', 'CD46', 'TRNT1', 'IL1A', 'SLC29A1', 'ACVRL1', 'EPOR', 'ATP7A', 'SEC23B', 'SLC25A37', 'RTEL1', 'FAS', 'CYP2C8', 'ABO', 'BMPR1A', 'SLC25A38', 'SLC17A5', 'MBL2', 'RMRP', 'ICAM1', 'CTLA4', 'XRCC2', 'TLR4', 'IFNL4', 'GLRX5', 'VCAM1', 'IL18', 'VDR', 'GSTM1', 'SLC28A3', 'ABCC2', 'CR1', 'RPS24', 'TINF2', 'USP1', 'PIGA', 'ATR', 'KDR', 'RPL11', 'CD55', 'FOXP3', 'CD59', 'FLT3', 'TLR9', 'WT1', 'RPL35A', 'XRCC4', 'RPS26', 'EPHX1', 'RPL5', 'ADH1B', 'NAT2', 'ERCC3', 'GDF15', 'NOS3', 'APOE', 'LCAT', 'ARL6IP5', 'SLC28A2', 'VEGFA', 'CFTR', 'ALB', 'C3', 'IL1RN', 'IL4', 'RPA1', 'CHEK2', 'ERCC6L2', 'IL23R', 'ADA', 'MECOM', 'RAG1', 'PRF1', 'EPB42', 'BCOR', 'PGK1', 'SLCO1B3', 'FAN1', 'IL12A', 'CLCN7', 'NLRP3', 'COX8A', 'FCGR3A', 'FCGR3B', 'CP', 'YARS2', 'CBLIF', 'VWF', 'MIF', 'GPI', 'IL13', 'GP1BA', 'AHSP', 'FTMT', 'MPO', 'DCLRE1C', 'U2AF1', 'SEA', 'RAD51D', 'NOS2', 'RPS17', 'PCNA', 'CFHR5', 'ATM', 'PMS1', 'RUNX1', 'APOA1', 'XRCC3', 'FGF23', 'ERFE', 'MLH1', 'RPA2', 'CFB', 'SOD1', 'PDCD1', 'GPT', 'ENPP1', 'HEPH', 'PIK3CA', 'PMS2', 'F10', 'CCL5', 'SLC11A1', 'APOA5', 'EGLN1', 'CD47', 'FTL', 'NFE2L2', 'TEK', 'STAT6', 'STAT1', 'TPMT', 'RPA3', 'ATP2B4', 'C4BPA', 'LCN2', 'OAS1', 'TNFRSF1A', 'ERBB2', 'TNFRSF1B', 'TLR3', 'GCLC', 'UGT1A', 'ALCAM', 'VHL', 'GNLY', 'ATP4A', 'IGF1', 'JMJD1C', 'CYP1B1', 'DDX11', 'TLR7', 'PROCR', 'DMD', 'INSRR', 'PMCH', 'IL23A', 'CD274', 'DHFR', 'GADD45A', 'THPO', 'RHD', 'CACNA2D3', 'CD36', 'LOH19CR1', 'DMTN', 'CDH1', 'SELP', 'RAD50', 'MMACHC', 'PGF', 'FTH1', 'LEP', 'LTA', 'FASLG', 'CXCL10', 'APOH', 'KCNQ1', 'MPG', 'LPIN2', 'HBFQTL2', 'AMMECR1', 'CDAN3', 'SLC46A1', 'HLA-DRB1', 'REN', 'CSF3', 'PTH', 'IL28B', 'CSF2', 'HLA-DQB1', 'IL3', 'CLEC11A', 'CDK6', 'HLA-A', 'PRL', 'ATG7', 'GSR', 'HOXD13', 'IGF2', 'ASPG', 'ACHE', 'HBB-LCR', 'NUP98', 'TNFRSF10A', 'IREB2', 'ALAD', 'ACAD8', 'TTR', 'F5', 'SRSF2', 'COX10', 'ABCA1', 'DNMT3A', 'COQ2', 'SEC61A1', 'HLA-C', 'IGH', 'MARS1', 'MUC1', 'CYP1A1', 'EZH2', 'NRAS', 'PRKAR1A', 'STAT5B', 'THRA', 'XRCC1', 'CAD', 'MPIG6B', 'FIP1L1', 'CASR', 'COX4I2', 'PET100', 'FARSB', 'AASS', 'SLC25A13', 'TCIRG1', 'CBL', 'IKZF1', 'MAD2L2', 'RN7SL263P', 'MALT1', 'LYST', 'ALDH2', 'VPS45', 'MYSM1', 'COX20', 'MTFMT', 'COL7A1', 'COL17A1', 'CYP2E1', 'HBA-LCR', 'COX6B1', 'DNAJC21', 'COX15', 'MPLKIP', 'NDUFAF6', 'CTSK', 'MSH6', 'DBH', 'MMAA', 'DNMT3B', 'AGXT', 'IL8', 'TYMP', 'ECHS1', 'UBR1', 'ELANE', 'ITGA2', 'UNC13D', 'ENG', 'AK2', 'ERBB3', 'CYP3A4', 'LOC109951029', 'NQO1', 'EWSR1', 'EXT2', 'FAAP24', 'SAMD9L', 'FASTKD2', 'KIF1B', 'FLI1', 'FMO3', 'ALPL', 'G6PC', 'PTF1A', 'NDUFAF3', 'ZBTB20', 'TGFBR3', 'NPHP4', 'THBD', 'FOXP1', 'UGT2B7', 'GLA', 'IFNL3', 'IGLV10-54', 'OSTM1', 'LOC106804613', 'GTF2E2', 'SNX10', 'HELLS', 'APOL1', 'LOC106804612', 'HMGCL', 'HPGD', 'MSH2', 'HPRT1', 'CRBN', 'AIRE', 'MMAB', 'CFHR1', 'BIRC3', 'XIAP', 'STING1', 'DPP4', 'SP110', 'IFNGR1', 'EDN1', 'IL2RG', 'IL7R', 'IRF2BP2', 'PTPN22', 'ITGB4', 'CYP3A5', 'ITK', 'NDUFS7', 'FAAP20', 'KRT14', 'LAMA3', 'LAMB3', 'IL4R', 'LAMC2', 'LIPA', 'GTF2H5', 'SH2D1A', 'MMP1', 'MTRR', 'TRNN', 'TRNS1', 'MMUT', 'NDUFA2', 'NDUFA4', 'HLA-DPB1', 'NDUFA9', 'NDUFA10', 'NDUFB8', 'HSPA9', 'CDAN1', 'NDUFS1', 'NDUFS2', 'NDUFS3', 'NDUFV1', 'HLA-DRB4', 'NDUFS4', 'NDUFS8', 'HLA-DQA1', 'NDUFV2', 'PIEZO1', 'NPHP1', 'NUMA1', 'CISD2', 'OCRL', 'C20ORF194', 'FAAP100', 'RRM2B', 'SMARCAL1', 'PARN', 'PCCA', 'PCCB', 'LOC110011217', 'INS', 'NDUFA13', 'MIPEP', 'PCNT', 'TACO1', 'PHF21A', 'LARS1', 'CENPS', 'LIG3', 'PDHA1', 'LIPT1', 'TAG', 'CENPX', 'PEPD', 'PFKM', 'PHKA2', 'PHKG2', 'PLEC', 'PML', 'ATP7B', 'POLG', 'SAMD9', 'NSUN2', 'SARS2', 'TPI1', 'CYBA', 'WRAP53', 'ADRB2', 'PNPO', 'STEAP3', 'NOP10', 'SLCO1B1', 'CCR5', 'CFHR3', 'FOXRED1', 'FERMT1', 'ERCC8', 'CHD7', 'MTOR', 'NHP2', 'PRKACG', 'NDUFA12', 'PSAP', 'FGB', 'PSMB4', 'PSMB8', 'CBX5', 'PSMB9', 'KIF15', 'PTH1R', 'COG6', 'ERCC5', 'ABCD4', 'NLRC4', 'F7', 'AGTR1', 'HBBP1', 'RAG2', 'RARA', 'CYP2C19', 'CCND1', 'HJV', 'ALX4', 'RPL26', 'RPL27', 'RPS10', 'RPS15A', 'RPS27', 'SLCO1A2', 'SCO1', 'SDHA', 'SELL', 'SDHB', 'NT5C3A', 'FAM111A', 'SDHC', 'NOD2', 'LOC106099064', 'IFIH1', 'NABP1', 'LOC106099065', 'ACD', 'VPS33A', 'SLCO2A1', 'SRP54', 'STIM1', 'STK11', 'SURF1', 'RAD52', 'TALDO1', 'LOC106099063', 'RNASE3', 'TBCE', 'TBXAS1', 'MLX', 'LOC106099062', 'TLR8', 'BTK', 'SERPINA1', 'ZBTB32', 'WFS1', 'FLVCR1', 'CA2', 'ZBTB16', 'UGT1A3', 'RNF113A', 'ALG8', 'NDUFAF5', 'UGT1A8', 'GNPTAB', 'EFL1', 'USB1', 'TBL1XR1', 'NHEJ1', 'TOP3A', 'MSH3', 'CTC1', 'SLC19A3', 'ACTN4', 'NDUFB3', 'FERMT3', 'CDCA7', 'COA8', 'OGG1', 'CDA', 'ICAM4', 'ORAI1', 'COX14', 'ABCG2', 'TNFSF11', 'ENTPD1', 'STX11', 'TNFRSF11A', 'CD163', 'BCL10', 'ANTXR1', 'ACVR1', 'SLC7A7', 'LYRM7', 'TMEM67', 'HBZ', 'XPC', 'NDUFAF2']"
PURE RED-CELL APLASIA,"['RPS19', 'LOH19CR1', 'EPO', 'FLVCR1', 'RPS17', 'STAT3', 'RPS24', 'HLA-DRB1', 'HAMP', 'TP53', 'RPL11', 'ABO', 'TNF', 'RPL5', 'IL6', 'AR', 'TEC', 'RPL35A', 'CHEK2', 'IL8', 'EGR1', 'RPS26', 'EPOR', 'ESR1', 'FANCF', 'IL2RA', 'GATA1', 'JAZF1', 'RPS14', 'PSAT1', 'IL10', 'RPS28', 'HLA-DQB1', 'AIRE', 'KLK3']"
CONGENITAL AMEGAKARYOCYTIC THROMBOCYTOPENIA,"['MPL', 'THPO', 'LYN', 'FYN', 'ZBTB16', 'CD177', 'GH2', 'GH1']"
BETA-THALASSEMIA MAJOR,"['HBB', 'HBA2', 'HBG2', 'HBG1', 'TFRC', 'UGT1A1', 'HBB-LCR', 'HAMP', 'HBA1', 'BCL11A', 'HBE1', 'HFE', 'HBD', 'KLF1', 'CHIT1', 'GATA1', 'COL1A1', 'F2', 'VDR', 'F5', 'AHSP', 'HBFQTL2', 'SOX6', 'TNFSF11', 'EPO', 'LCN2', 'DHODH', 'TFR2', 'UMPS', 'CAD', 'CACNA1H', 'CD34', 'GH1', 'GSTM1', 'APOE', 'PDLIM7', 'UGT1A6', 'PROS1', 'CSF3', 'ALB', 'LOC109951029', 'HPGDS', 'IFNL3', 'GPT', 'HSPA4', 'MTHFR', 'PC', 'PGD', 'UGT1A10', 'HBS1L', 'UGT1A8', 'UGT1A7', 'LOC106099063', 'UGT1A5', 'UGT1A9', 'UGT1A4', 'LOC106099062', 'UGT1A3', 'UGGT1', 'PTH', 'LOC110011217', 'KLF10', 'SLC35A2', 'HBA-LCR', 'UGT1A', 'CD19', 'CD38', 'MYB', 'CD24', 'PSC', 'LPCAT3', 'LOC106099065', 'RN7SL263P', 'ITGA4', 'OGA', 'HCST', 'LOC106099064']"
PAROXYSMAL NOCTURNAL HEMOGLOBINURIA,"['PIGA', 'CD59', 'HLA-DRB1', 'CD14', 'PIGF', 'PLAU', 'CD55', 'PIGT', 'HLA-DQA1', 'SELL', 'PIGAP1', 'PRTN3', 'HLA-DQB1', 'PIGB', 'HLA-A', 'PIGFP1', 'C3', 'PIGH', 'WT1', 'C5', 'PIGM', 'PIGCP1', 'PRNP', 'CD160', 'CD52', 'ECI2', 'PIGC', 'PLAUR', 'FLNA', 'GPI', 'CD34', 'FCGR3B', 'FCGR3A', 'TNF', 'IFNG', 'BST1', 'ERCC6L2', 'CD24', 'CR1', 'GEM', 'IL10', 'KIR3DL1', 'PTPRC', 'HMGA2', 'CDR3', 'CD48', 'PIGO', 'KLRC4-KLRK1', 'ARFGEF2', 'RN7SL263P', 'CEACAM8', 'RBM45', 'CSF2', 'CSF3', 'RNASE2', 'KLRK1', 'NEDD4L', 'FUT4', 'CFH', 'CD177', 'HP', 'HPRT1', 'FAS', 'IL6', 'EFS', 'CAP1', 'SORBS1', 'ADAMTS13', 'MPL', 'ATF2', 'CTAA1', 'CBLL2', 'EPOR', 'DAB1']"
