,Drug,Disease
0,MEMANTINE,Alzheimer's disease
10,IBUPROFEN,Alzheimer's disease
11,QUINIDINE,Alzheimer's disease
13,ACETAMINOPHEN,Alzheimer's disease
18,METHYLPHENIDATE,Alzheimer's disease
20,SIMVASTATIN,Alzheimer's disease
21,NICOTINE,Alzheimer's disease
28,CARVEDILOL,Alzheimer's disease
30,DEXTROMETHORPHAN,Alzheimer's disease
45,"ESTROGENS, CONJUGATED",Alzheimer's disease
46,CELECOXIB,Alzheimer's disease
48,MASITINIB,Alzheimer's disease
49,ARIPIPRAZOLE,Alzheimer's disease
51,TARENFLURBIL,Alzheimer's disease
55,RISPERIDONE,Alzheimer's disease
63,NAPROXEN,Alzheimer's disease
64,CAFFEINE,Alzheimer's disease
71,VALPROIC ACID,Alzheimer's disease
73,INDOMETHACIN,Alzheimer's disease
77,DOXYCYCLINE,Alzheimer's disease
85,ROSIGLITAZONE,Alzheimer's disease
91,ATORVASTATIN,Alzheimer's disease
114,ERGOCALCIFEROL,Alzheimer's disease
119,PREDNISONE,Alzheimer's disease
129,LEVETIRACETAM,Alzheimer's disease
132,ACITRETIN,Alzheimer's disease
138,ESTRADIOL,Alzheimer's disease
139,SARACATINIB,Alzheimer's disease
140,MIFEPRISTONE,Alzheimer's disease
143,RILUZOLE,Alzheimer's disease
151,RG3487,Alzheimer's disease
158,THALIDOMIDE,Alzheimer's disease
159,SARGRAMOSTIM,Alzheimer's disease
163,BEXAROTENE,Alzheimer's disease
174,VARENICLINE,Alzheimer's disease
187,ETANERCEPT,Alzheimer's disease
205,LIRAGLUTIDE,Alzheimer's disease
214,LITHIUM CARBONATE,Alzheimer's disease
243,PIOGLITAZONE,Alzheimer's disease
247,VENLAFAXINE,Alzheimer's disease
248,MIDAZOLAM,Alzheimer's disease
250,BREXANOLONE,Alzheimer's disease
252,BUPROPION,Alzheimer's disease
257,DASATINIB,Alzheimer's disease
260,LORAZEPAM,Alzheimer's disease
268,VORINOSTAT,Alzheimer's disease
269,DEXMEDETOMIDINE,Alzheimer's disease
271,OMEPRAZOLE,Alzheimer's disease
284,WARFARIN,Alzheimer's disease
293,ISOTRETINOIN,Alzheimer's disease
296,BROMOCRIPTINE,Alzheimer's disease
312,FILGRASTIM,Alzheimer's disease
332,PANOBINOSTAT,primary myelofibrosis
333,MYCOPHENOLATE MOFETIL,Beta-thalassemia major
336,ACETAMINOPHEN,Sickle cell anemia
338,FLUDARABINE PHOSPHATE,Beta-thalassemia major
340,DEXAMETHASONE,hemolytic anemia
341,KETAMINE,Sickle cell anemia
343,SIROLIMUS,pure red-cell aplasia
346,SILDENAFIL,Sickle cell anemia
347,IBUPROFEN,Sickle cell anemia
355,DEXTROMETHORPHAN,Sickle cell anemia
358,CYCLOSPORINE,Beta-thalassemia major
360,METHOTREXATE,Beta-thalassemia major
361,RUXOLITINIB,Beta-thalassemia major
374,RUXOLITINIB,primary myelofibrosis
375,PREDNISONE,hemolytic anemia
376,TACROLIMUS,Beta-thalassemia major
378,SIROLIMUS,Paroxysmal nocturnal hemoglobinuria
386,HYDROXYUREA,Sickle cell anemia
388,OMEPRAZOLE,Congenital dyserythropoietic anemia type I
400,PREDNISOLONE,hemolytic anemia
405,TACROLIMUS,pure red-cell aplasia
406,CYTARABINE,refractory anemia with ringed sideroblasts
407,FLUDARABINE PHOSPHATE,Sickle cell anemia
409,POMALIDOMIDE,primary myelofibrosis
410,METHYLPHENIDATE,Sickle cell anemia
412,FLUDARABINE PHOSPHATE,refractory anemia with ringed sideroblasts
415,NAVITOCLAX,primary myelofibrosis
417,ALDESLEUKIN,refractory anemia with ringed sideroblasts
419,HYDROCORTISONE,refractory anemia with ringed sideroblasts
434,RITUXIMAB,"Anemia, Hemolytic, Autoimmune"
437,DEXAMETHASONE,Sickle cell anemia
441,HYDROXYUREA,primary myelofibrosis
447,DEXAMETHASONE,refractory anemia with ringed sideroblasts
450,ETOPOSIDE,refractory anemia with ringed sideroblasts
457,FILGRASTIM,refractory anemia with ringed sideroblasts
458,PEGINTERFERON ALFA-2B,primary myelofibrosis
468,PREDNISOLONE,"Anemia, Hemolytic, Autoimmune"
470,ALEMTUZUMAB,Sickle cell anemia
471,PREDNISOLONE,pure red-cell aplasia
485,ERGOCALCIFEROL,Sickle cell anemia
486,CYCLOSPORINE,pure red-cell aplasia
492,MYCOPHENOLATE MOFETIL,pure red-cell aplasia
494,METHOTREXATE,refractory anemia with ringed sideroblasts
498,MYCOPHENOLATE MOFETIL,primary myelofibrosis
499,FLUDARABINE PHOSPHATE,Beta-thalassemia
500,FLUDARABINE PHOSPHATE,Fanconi anemia
501,FLUDARABINE PHOSPHATE,primary myelofibrosis
502,METFORMIN,Fanconi anemia
504,ALEMTUZUMAB,Beta-thalassemia
