Gene ID;Gene Name;Gene OMIM;Gene Location;Disease Id;Diagnostic;Transmition
1;POLIOVIRUS RECEPTOR; PVR;173850;19q13.31   ;1;Pm;
2;IL6;147620;7p15.3;2;IBD;Mul
3;NOD2;605956;16q12.1;2;IBD;Mul
4;SCZD12;608543;1p36.2;3;Sc;AD
5;MTHFR;607093;1p36.22;3;Sc;AD
6;CHI3L1;601525;1q32.1;3;Sc;AD
7;DISC2;606271;1q42.2;3;Sc;AD
8;SYN2;600755;3p25.2;3;Sc;AD
9;DRD3;126451;3q13.31;3;Sc;AD
10;SCZD1;181510;5q23-q35;3;Sc;AD
11;SCZD3;600511;6p23;3;Sc;AD
12;SCZD5;603175;6q13-q26;3;Sc;AD
13;SCZD6;603013;8p21;3;Sc;AD
14;SCZD11;608078;10q22.3;3;Sc;AD
15;SCZD2;603342;11q14-q21;3;Sc;AD
16;HTR2A;182135;13q14.2;3;Sc;AD
17;SCZD7;603176;13q32;3;Sc;AD
18;DAOA;607408;13q33.2;3;Sc;AD
19;SCZD8;603206;18p;3;Sc;AD
20;COMT;116790;22q11.21;3;Sc;AD
21;RTN4R;605566;22q11.21;3;Sc;AD
22;APOL4;607254;22q12.3;3;Sc;AD
23;APOL2;607252;22q12.3;3;Sc;AD
24;HLA-C;142840;6p21.33;4;Ps;Mul
25;CARD14;607211;17q25.3;5;Ps;AD
26;PSORS3;601454;4q;6;Ps;
27;PSORS4;603935;1q21;7;Ps;
28;PSORS5;604316;3q21;8;Ps;
29;PSORS6;605364;19p13;9;Ps;
30;PSORS7;605606;1p;10;Ps;
31;PSORS8;610707;16q;11;Ps;
32;PSORS9;607857;4q31-q34;12;Ps;
33;PSORS10;612410;18p11.23;13;Ps;
34;PSORS11;612599;5q31.1-q33.1;14;Ps;
35;PSORS12;607043;20q13;15;Ps;
36;TRAF3IP2;607043;6q21;16;Ps;
37;IL36RN;605507;2q14.1;17;Ps;AR
38;AP1S3;615781;2q36.1;18;Ps;AD
39;RA;180300;6q23;20;RE;
40;TLR5;603031;1q41;21;Lu;
41;ATPLS;107320;6p21.3;22;AS;AD
42;IBD7;605225;1.36;23;IBD;
43;IL23R;607562;1p31.3;51;IBD;
44;IBD23;612381;1q32.1;24;IBD;
45;INAVA;618051;1q32.1;25;IBD;
46;ATG16L1;610767;2q37.1;26;IBD;
47;IBD9;608448;3p26;27;IBD;
48;IBD12;612241;3p21.3;28;IBD;
49;IBD18;612262;5p13.1;29;IBD;
50;IBD5;606348;5q31;30;IBD;
51;IRGM;608212;5q33.1;31;IBD;
52;IBD3;604519;6p21.3;32;IBD;AD
53;ABCB1;171050;7q21.12;33;IBD;
54;IBD11;"	191390";7q22;34;IBD;Mul
55;IRF5;607218;7q32.1;35;IBD;
56;IBD16;612259;9q32;36;IBD;
57;IBD15;612255;10q21;37;IBD;
58;IBD20;612288;10q23-q24;38;IBD;
59;IL10RA;146933;11q23.3;39;IBD;AR
60;IBD2;601458;12p13.2-q24.1;40;IBD;
61;IBD26;612639;12q15;41;IBD;
62;IBD27;612796;13q13.3;42;IBD;
63;IBD4;606675;14q11-q12;43;IBD;
64;IBD8;606668;16p;44;IBD;
65;IBD22;612380;17q21.2;45;IBD;
66;IBD21;612354;18p11;46;IBD;AD
67;IBD6;606674;19p13;47;IBD;
68;CARD8;609051;19q13.33;48;IBD;
69;IBD24;612566;20q13;49;IBD;
70;CRFB4;123889;21q22.11;50;IBD;
71;PDCD1;600244;2q37.3;57;ME;
72;MS4;612596;1p36;52;ME;
73;MS3;612595;5p13.2;53;ME;
74;HLA-DRB1;142857;6p21.32;54;ME;
75;HLA-DQB1;604305;6p21.32;54;ME;
76;MS2;612594;10p15.1;55;ME;
77;TNFRSF1A;191190;12p13.31;56;ME;
78;SCN3A;182391;2q24.3;58;Ep;AD
79;NPRL2;607072;3p21.31;59;Ep;AD
80;NPRL3;600928;16p13.3;60;Ep;AD
81;DEPDC5;614191;22q12.2-q12.3;61;Ep;AD
82;PRDM16;605557;1p36.32;62;CA;AD
83;PRDM16;605557;1p36.32;62;CA;AD
84;NEXN;613121;1p31.1;64;CA;AD
85;LMNA;150330;1q22;65;CA;AD
86;TNNT2;191045;1q32.1;66;CA;AD
87;TNNT2;191045;1q32.1;66;CA;AD
88;PSEN2;600759;1q42.13;68;CA;AD
89;ACTN2;102573;1q43;69;CA;AD
90;ACTN2;102573;1q43;69;CA;AD
91;CMD1H;604288;2q14-q22;71;CA;
92;TTN;188840;2q31.2;72;CA;
93;DES;125660;2q35;73;CA;AD
94;RAF1;164760;3p25.2;74;CA;AD
95;SCN5A;600163;3p22.2;75;CA;AD
96;TNNC1;191040;3p21.1;76;CA;
97;SDHA;600857;5p15.33;77;CA;AR
98;SGCD;601411;5q33.2-q33.3;78;CA;
99;CMD1K;605582;6q12-q16;79;CA;
100;LAMA4;600133;6q21;80;CA;AD
101;PLN;172405;6q22.31;81;CA;
102;EYA4;603550;6q23.2;82;CA;AD
103;GATAD1;614518;7q21.2;83;CA;AR
104;CMD1Q;609915;7q22.3-q31.1;84;CA;
105;CMD1B;600884;9q13;85;CA;AD
106;FKTN;607440;9q31.2;86;CA;AR
107;MYPN;608517;10q21.3;87;CA;AD
108;MYPN;608517;10q21.3;87;CA;AD
109;MYPN;608517;10q21.3;87;CA;AD
110;VCL;193065;10q22.2;90;CA;
111;LDB3;605906;10q23.2;91;CA;AD
112;LDB3;605906;10q23.2;91;CA;AD
113;LDB3;605906;10q23.2;91;CA;AD
114;RBM20;613171;10q25.2;94;CA;AD
115;BAG3;603883;10q26.11;95;CA;AD
116;CSRP3;600824;11p15.1;96;CA;
117;MYBPC3;600958;11p11.2;97;CA;AD
118;MYBPC3;600958;11p11.2;97;CA;AD
119;CRYAB;123590;11q23.1;99;CA;AD
120;ABCC9;601439;12p12.1;100;CA;AD
121;MYH6;160710;14q11.2;101;CA;
122;MYH7;160760;14q11.2;102;CA;AD
123;MYH7;160760;14q11.2;102;CA;AD
124;PSEN1;104311;14q24.2;104;CA;AD
125;ACTC1;102540;15q14;105;CA;AD
126;ACTC1;102540;15q14;105;CA;AD
127;TPM1;191010;15q22.2;107;CA;AD
128;TPM1;191010;15q22.2;107;CA;AD
129;DSG2;125671;18q12.1;109;CA;
130;TNNI3;191044;19q13.42;110;CA;AR
131;TNNI3;191044;19q13.42;111;CA;
132;DMD;300377;Xp21.2-p21.1;112;CA;XL
133;KCNK3;603220;2p23.3;113;PH;AD
134;BMPR2;600799;2q33.1-q33.2;114;PH;AD
135;BMPR2;600799;2q33.1-q33.2;114;PH;AD
136;CAV1;601047;7q31.2;116;PH;AD
137;MADH9;603295;13q13.3;117;PH;AD
138;PPHR;265400;Not Mapped;118;PH;AR
139;CFTR;602421;7q31.2;119;CF;AD, cystic fibrosis
140;CFTR;602422;7q31.3;120;CF;AD, cystic fibrosis
141;CFTR;602423;7q31.4;121;CF;AR, cystic fibrosis
142;CFTR;602424;7q31.5;122;CF;AR, cystic fibrosis
143;HJV;608374;1q21.1;123;HC;AR
144;SLC40A1;604653;2q32.2;124;HC;AD
145;HFE;613609;6p22.2;125;HC;AR
146;TFR2;604720;7q22.1;126;HC;AR
147;FTH1;134770;11q12.3;127;HC;AD
148;HAMP;606464;19q13.12;128;HC;AR
149;BMP2;112261;20p12.3;129;HC;AR
150;HFEA;601195;Not Mapped;130;HC;AD
151;IL1RN;147679;2q14.1;131;mcD;
152;HFE;613609;6p22.2;131;mcD;
153;VEGF;192240;6p21.1;133;mcD;
154;SOD2;147460;6q25.3;134;mcD;
155;PON1;168820;7q21.3;135;mcD;
156;EPO;133170;7q22.1;136;mcD;
157;ACE;106180;17q23.3;137;mcD;
158;IDDM1;222100;6p21.3;138;DT1;AR
159;CELA2A;609443;1p36.21;139;Aob;AD
160;AOMS1;605552;3q27;140;Aob;AD
161;MTTP;157147;4q23;140;Aob;AD
162;AOMS2;605572;17p12;142;Aob;AD
163;DYRK1B;604556;19q13.2;143;Aob;AD
164;PSEN1;104311;14q24.2;144;AZH3;AD
165;PSEN1;104311;14q24.2;144;AZH3;AD
166;PSEN1;104311;14q24.2;144;AZH3;AD
167;APOE;107741;19q13.32;144;AZH3;AD
168;HFE;613609;6p22.2;145;AZH1;AD
169;NOS3;163729;7q36.1;145;AZH1;AD
170;PLAU;191840;10q22.2;145;AZH1;AD
171;A2M;103950;12p13.31;145;AZH1;AD
172;MPO;606989;17q22;145;AZH1;AD
173;APP;104760;21q21.3;145;AZH1;AD
174;APOE;107741;19q13.32;146;AZH2;AD
175;PSEN2;600759;1q42.13;147;AZH4;AD
176;AD5;600759;12p11.23-q13.12;148;AZH5;AD
177;AD6;605526;10q24;149;AZH6;AD
178;AD7;606187;10p13;150;AZH7;AD
179;AD8;607116;20p;151;AZH8;AD
180;ABCA7;605414;19p13.3;152;AZH9;AD
181;AD10;609636;7q36;153;AZH10;AD
182;AD11;609790;9p22.1;154;AZH11;AD
183;ADAM10;602192;15q21.3;155;AZH18;AD
184;HTT;613004;4p16.3;156;HD;AD
185;PAH;612349;12q23.2;157;PKU;AR
186;HBB;141900;11p15.4;158;AF;AR
187;NT5C3A;606224;7p14.3;159;AH;AR
188;TMPRSS6;609862;22q12.3;160;AI;AR
189;C15orf41;615626;15q14;161;AD;AR
190;CDAN1;607465;15q15.2;162;AD;AR
191;CDAN3;105600;15q21;163;AD;AD
192;KLF1;600599;19p13.13;164;AD;AD
193;SEC23B;610512;20p11.23;165;AD;AR
194;DJ1;602533;1p36.23;166;PKS;AR
195;ATP13A2;610513;1p36.13;167;PKS;AR
196;PINK1;608309;1p36.12;168;PKS;AR
197;PARK10;606852;1p32;169;PKS;
198;DNAJC6;608375;1p31.3;170;PKS;AR
199;DNAJC6;608375;1p31.3;170;PKS;AR
200;GBA;606463;1q22;172;PKS;AD, Mu
201;PARK16;613164;1q32;173;PKS;
202;PARK3;602404;2p13;174;PKS;
203;HTRA2;606441;2p13.1;175;PKS;
204;GIGYF2;612003;2q37.1;176;PKS;
205;PARK21;616361;3q22;177;PKS;AD
206;EIF4G1;600495;3q27.1;178;PKS;AD
207;UCHL1;191342;4p13;179;PKS;AD
208;SNCA;163890;4q22.1;180;PKS;AD
209;SNCA;163890;4q22.1;181;PKS;AD
210;ADH1C;103730;4q23;182;PKS;AD, Mu
211;PRKN;602544;6q26;183;PKS;AR
212;TBP;600075;6q27;184;PKS;AD, Mu
213;CHCHD2;616244;7p11.2;185;PKS;AD
214;LRRK2;609007;12q12;186;PKS;AD
215;ATXN2;601517;12q24.12;187;PKS;AD, Mu
216;ATXN8OS;603680;13q21.33;187;PKS;AD, Mu
217;VPS13C;608879;15q22.2;189;PKS;AR
218;VPS35;601501;16q11.2;190;PKS;AD
219;MAPT;157140;17q21.31;191;PKS;AD, Mu
220;SYNJ1;604297;21q22.11;192;PKS;AR
221;FBXO7;605648;22q12.3;193;PKS;AR
222;PLA2G6;603604;22q13.1;194;PKS;AR
223;PARK12;300557;Xq21-q25;195;PKS;
224;GLUD2;300144;Xq24;196;PKS;AD, Mu
